"","fam","gen","sp","count"
"1","Vochysiaceae","Vochysia","ferruginea",281
"2","Malvaceae","Bombacopsis","quinata",265
"3",NA,"-","-",212
"4","Fabaceae","Schizolobium","parahyba",90
"5","Vochysiaceae","Vochysia","allenii",47
"6","Fabaceae","Inga","sp.",39
"7","Meliaceae","Carapa","guianensis",39
"8","Annonaceae","Guatteria","dolichopoda",36
"9","Myristicaceae","Virola","sp.",25
"10","Euphorbiaceae","Hyeronima","alchorneoides",22
"11","Lauraceae","Ocotea","insularis",19
"12","Rubiaceae","Chimarrhis","latifolia",19
"13","Malvaceae","Heliocarpus","appendiculatus",16
"14","Moraceae","Ficus","insipida",16
"15","Malvaceae","Apeiba","tibourbou",9
"16","Lauraceae","Ocotea","sp.",8
"17","Malvaceae","Ceiba","pentandra",7
"18","Malvaceae","Guazuma","ulmifolia",7
"19","Moraceae","Brosimum","sp.",6
"20","Simaroubaceae","Simaba","cedron",6
"21","Combretaceae","Terminalia","amazonia",5
"22","Simaroubaceae","Simarouba","amara",5
"23",NA,"Visimia","ferruginea",5
"24","Bignoniaceae","Tabebuia","sp.",4
"25","Clethraceae","Clethra","mexicana",4
"26","Rubiaceae","Posoqueria","latifolia",4
"27","Sapotaceae","Manilkara","staminodella",4
"28","Anacardiaceae","Tapirira","myriantha",3
"29","Fabaceae","Tachigali","versicolor",3
"30","Fagaceae","Quercus","sp.",3
"31","Lamiaceae","Gmelina","arborea",3
"32","Myrtaceae","Syzygium","jambos",3
"33","Rubiaceae","Simira","maxonii",3
"34","Sapindaceae","Cupania","glabra",3
"35","Annonaceae","Xylopia","sericophylla",2
"36","Fabaceae","Cojoba","arborea",2
"37","Lamiaceae","Vitex","cooperi",2
"38","Malpighiaceae","Byrsonima","crassifolia",2
"39","Melastomataceae","Miconia","argenta",2
"40","Meliaceae","Cedrela","odorata",2
"41","Acanthaceae","Bravaisia","integerrima",1
"42","Anacardiaceae","Spondias","sp.",1
"43","Burseraceae","Bursera","simaruba",1
"44","Chrysobalanaceae","Maranthes","panamensis",1
"45","Fabaceae","Lonchocarpus","macrophyllus",1
"46","Fabaceae","Peltogyne","purpurea",1
"47","Malvaceae","Ochroma","pyramidale",1
"48","Moraceae","Ficus","sp.",1
"49","Myrtaceae","Psidium","guajava",1
